2020/04/26 23:16:30 - WARNING -  * Debugger is active!
2020/04/26 23:16:38 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:38 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:38 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:38 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:38 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:38 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - INFO - 127.0.0.1 - - [26/Apr/2020 23:16:39] "[1m[35mGET /favicon.ico HTTP/1.1[0m" 500 -
2020/04/26 23:16:39 - DEBUG - Starting new HTTPS connection (1): api.spotify.com
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/playlists?limit=50&offset=0 HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:39 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
2020/04/26 23:16:40 - DEBUG - https://api.spotify.com:443 "GET /v1/me/ HTTP/1.1" 200 None
